OBJECTID,Year,Reported Date,Occurred Date,Weekday,Offence Category,Sector,Division,Neighbourhood,Ward,Councillor,x,y
77,2023,5/9/2023 5:00:00 AM,5/9/2023 5:00:00 AM,Wednesday,Murder 2nd Dgree,35,East,Emerald Woods - Sawmill Creek,Ward 10 - Gloucester-Southgate,Jessica Bradley,371903.121500003,5023641.85379946
78,2023,6/28/2023 5:00:00 AM,6/28/2023 5:00:00 AM,Thursday,Murder 1st Dgree,21,Central,Carlington,Ward 16 - River,Riley Brockington,364049.694000003,5026375.53289946
79,2023,6/29/2023 5:00:00 AM,6/29/2023 5:00:00 AM,Friday,Murder 1st Dgree,21,Central,Civic Hospital-Central Park,Ward 16 - River,Riley Brockington,364417.820000001,5025858.52709946
80,2023,7/19/2023 5:00:00 AM,7/19/2023 5:00:00 AM,Thursday,Manslaughter,22,Central,West Centertown,Ward 14 - Somerset,Ariel Troster,366717.547000003,5029970.70019946
81,2023,8/19/2023 5:00:00 AM,8/19/2023 5:00:00 AM,Sunday,Murder 1st Dgree,37,East,Russell - Edwards,Ward 20 - Osgoode,Isabelle Skalski,383016.791000009,5023978.49699946
82,2023,9/2/2023 5:00:00 AM,9/2/2023 5:00:00 AM,Sunday,Murder 1st Dgree,35,East,Hunt Club - Ottawa Airport,Ward 10 - Gloucester-Southgate,Jessica Bradley,370029.761900004,5022883.40899946
83,2023,9/2/2023 5:00:00 AM,9/2/2023 5:00:00 AM,Sunday,Murder 1st Dgree,35,East,Hunt Club - Ottawa Airport,Ward 10 - Gloucester-Southgate,Jessica Bradley,370029.761900004,5022883.40899946
84,2023,10/11/2023 5:00:00 AM,10/11/2023 5:00:00 AM,Thursday,Murder 1st Dgree,31,East,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 1 - Orléans East-Cumberland,Matthew Luloff,383736.182600009,5036677.45529946
85,2023,11/23/2023 5:00:00 AM,11/23/2023 5:00:00 AM,Friday,Murder 2nd Dgree,15,West,Centrepointe,Ward 8 - College,Laine Johnson,361962.079700002,5023163.69949946
86,2023,11/30/2023 5:00:00 AM,11/30/2023 5:00:00 AM,Friday,Manslaughter,24,Central,Lowertown,Ward 12 - Rideau-Vanier,Stéphanie Plante,368353.704100002,5032692.58789946
87,2024,1/29/2024 5:00:00 AM,1/29/2024 5:00:00 AM,Tuesday,Murder 1st Dgree,22,Central,West Centertown,Ward 15 - Kitchissippi,Jeff Leiper,366557.703000002,5028965.55589946
88,2024,3/6/2024 5:00:00 AM,3/6/2024 5:00:00 AM,Thursday,Murder 1st Dgree,16,West,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Wilson Lo,365006.755900003,5015977.63589946
89,2024,3/6/2024 5:00:00 AM,3/6/2024 5:00:00 AM,Thursday,Murder 1st Dgree,16,West,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Wilson Lo,365006.755900003,5015977.63589946
90,2024,3/6/2024 5:00:00 AM,3/6/2024 5:00:00 AM,Thursday,Murder 1st Dgree,16,West,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Wilson Lo,365006.755900003,5015977.63589946
91,2024,3/6/2024 5:00:00 AM,3/6/2024 5:00:00 AM,Thursday,Murder 1st Dgree,16,West,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Wilson Lo,365006.755900003,5015977.63589946
92,2024,3/6/2024 5:00:00 AM,3/6/2024 5:00:00 AM,Thursday,Murder 1st Dgree,16,West,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Wilson Lo,365006.755900003,5015977.63589946
93,2024,3/6/2024 5:00:00 AM,3/6/2024 5:00:00 AM,Thursday,Murder 1st Dgree,16,West,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Wilson Lo,365006.755900003,5015977.63589946
94,2024,4/12/2024 5:00:00 AM,4/12/2024 5:00:00 AM,Saturday,Murder 1st Dgree,23,Central,Centretown,Ward 14 - Somerset,Ariel Troster,367097.129000002,5030170.62799946
95,2024,4/19/2024 5:00:00 AM,4/19/2024 5:00:00 AM,Saturday,Murder 2nd Dgree,25,Central,Rockcliffe - Manor Park,Ward 13 - Rideau-Rockcliffe,Rawlson King,370365.547100004,5034777.29399946
96,2024,5/2/2024 5:00:00 AM,5/2/2024 5:00:00 AM,Friday,Murder 1st Dgree,32,East,Cummings,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,372421.149100004,5032447.74059946
97,2024,5/2/2024 5:00:00 AM,5/2/2024 5:00:00 AM,Friday,Murder 1st Dgree,15,West,Centrepointe,Ward 8 - College,Laine Johnson,362377.164100001,5023119.72469946
98,2024,6/12/2024 5:00:00 AM,12/11/2023 5:00:00 AM,Tuesday,Murder 2nd Dgree,15,West,Iris,Ward 8 - College,Laine Johnson,362479.2636,5023951.15579946
99,2024,6/17/2024 5:00:00 AM,6/17/2024 5:00:00 AM,Tuesday,Manslaughter,13,West,Katimavik - Hazeldean,Ward 4 - Kanata North,Cathy Curry,351429.974,5019331.30899946
100,2024,6/28/2024 5:00:00 AM,6/28/2024 5:00:00 AM,Saturday,Murder 2nd Dgree,33,East,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Marty Carr,373001.729000006,5029506.55289946
101,2024,7/5/2024 5:00:00 AM,7/5/2024 5:00:00 AM,Saturday,Murder 1st Dgree,21,Central,Westboro,Ward 15 - Kitchissippi,Jeff Leiper,364289.1009,5027671.61829946
102,2024,7/16/2024 5:00:00 AM,7/16/2024 5:00:00 AM,Wednesday,Murder 1st Dgree,31,East,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Ward 19 - Orléans South-Navan,Catherine Kitts,383424.869500008,5034965.11069946
103,2024,8/7/2024 5:00:00 AM,8/7/2024 5:00:00 AM,Thursday,Murder 2nd Dgree,31,East,Orléans Chatelaine Village,Ward 1 - Orléans East-Cumberland,Matthew Luloff,382518.743000006,5039026.59289946
104,2024,8/25/2024 5:00:00 AM,8/25/2024 5:00:00 AM,Monday,Murder 2nd Dgree,11,West,Corkery,Ward 5 - West Carleton-March,Clarke Kelly,343753.527900001,5012367.43889946
105,2024,9/12/2024 5:00:00 AM,9/12/2024 5:00:00 AM,Friday,Murder 2nd Dgree,24,Central,Byward Market,Ward 12 - Rideau-Vanier,Stéphanie Plante,368325.704900004,5032416.58489946
106,2024,9/15/2024 5:00:00 AM,9/15/2024 5:00:00 AM,Monday,Murder 1st Dgree,23,Central,Centretown,Ward 14 - Somerset,Ariel Troster,366941.703000004,5030856.57209946
107,2024,9/19/2024 5:00:00 AM,9/19/2024 5:00:00 AM,Friday,Murder 1st Dgree,34,East,Ledbury - Heron Gate - Ridgemont - Elmwood,Ward 18 - Alta Vista,Marty Carr,371899.769800003,5026870.84499946
108,2024,9/23/2024 5:00:00 AM,9/23/2024 5:00:00 AM,Tuesday,Murder 2nd Dgree,36,East,Metcalfe,Ward 20 - Osgoode,Isabelle Skalski,383701.798900008,5015623.45009946
109,2024,10/8/2024 5:00:00 AM,10/8/2024 5:00:00 AM,Wednesday,Murder 1st Dgree,17,West,Crestview - Meadowlands,Ward 8 - College,Laine Johnson,364003.220900003,5023740.73619946
110,2024,10/24/2024 5:00:00 AM,10/24/2024 5:00:00 AM,Friday,Murder 1st Dgree,35,East,Hunt Club East - Western Community,Ward 16 - River,Riley Brockington,369774.721900004,5023441.50899946
111,2024,10/28/2024 5:00:00 AM,10/28/2024 5:00:00 AM,Tuesday,Murder 1st Dgree,25,Central,Vanier North,Ward 12 - Rideau-Vanier,Stéphanie Plante,369993.707100003,5033882.59589946
112,2024,12/25/2024 5:00:00 AM,12/25/2024 5:00:00 AM,Thursday,Murder 2nd Dgree,21,Central,Hintonburg - Mechanicsville,Ward 15 - Kitchissippi,Jeff Leiper,365715.432900003,5029867.40189946
113,2025,1/10/2025 5:00:00 AM,1/10/2025 5:00:00 AM,Saturday,Murder 2nd Dgree,16,West,New Barrhaven - New Development - Stonebridge,Ward 3 - Barrhaven West,David Hill,365846.847100002,5013406.73399946
114,2025,2/6/2025 5:00:00 AM,2/6/2025 5:00:00 AM,Friday,Murder 1st Dgree,31,East,Greenbelt - Mer Bleue,Ward 19 - Orléans South-Navan,Catherine Kitts,377183.741100004,5032160.56189946
115,2025,2/15/2025 5:00:00 AM,2/15/2025 5:00:00 AM,Sunday,Murder 2nd Dgree,25,Central,Vanier North,Ward 12 - Rideau-Vanier,Stéphanie Plante,371333.019200003,5034330.97659946
116,2025,2/19/2025 5:00:00 AM,2/19/2025 5:00:00 AM,Thursday,Murder 2nd Dgree,25,Central,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Rawlson King,370996.715900003,5031816.57589946
117,2025,3/14/2025 5:00:00 AM,3/14/2025 5:00:00 AM,Saturday,Murder 2nd Dgree,16,West,New Barrhaven - New Development - Stonebridge,Ward 24 - Barrhaven East,Wilson Lo,365118.275900002,5016928.21139946
118,2025,3/29/2025 5:00:00 AM,3/29/2025 5:00:00 AM,Sunday,Murder 2nd Dgree,22,Central,West Centertown,Ward 14 - Somerset,Ariel Troster,366746.701900002,5030586.57009946
119,2025,3/31/2025 5:00:00 AM,3/16/2025 5:00:00 AM,Monday,Murder 1st Dgree,15,West,Iris,Ward 8 - College,Laine Johnson,361339.680000002,5023927.51099946
120,2025,4/1/2025 5:00:00 AM,4/1/2025 5:00:00 AM,Wednesday,Murder 1st Dgree,24,Central,Lowertown,Ward 12 - Rideau-Vanier,Stéphanie Plante,369035.706000004,5032924.58899946
121,2025,4/4/2025 5:00:00 AM,4/4/2025 5:00:00 AM,Saturday,Murder 2nd Dgree,32,East,CFB Rockcliffe-NRC,Ward 13 - Rideau-Rockcliffe,Rawlson King,373059.715900005,5034683.59589946
122,2025,4/5/2025 5:00:00 AM,4/5/2025 5:00:00 AM,Sunday,Murder 1st Dgree,16,West,Barrhaven,Ward 3 - Barrhaven West,David Hill,363267.681100001,5014630.42899946
123,2025,4/6/2025 5:00:00 AM,4/6/2025 5:00:00 AM,Monday,Murder 1st Dgree,15,West,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Ward 9 - Knoxdale-Merivale,Sean Devine,362580.327700002,5021848.74789946
124,2025,5/27/2025 5:00:00 AM,5/27/2025 5:00:00 AM,Wednesday,Murder 1st Dgree,16,West,Barrhaven,Ward 3 - Barrhaven West,David Hill,361549.672100001,5015729.43809946
125,2025,6/2/2025 5:00:00 AM,6/2/2025 5:00:00 AM,Tuesday,Murder 2nd Dgree,35,East,Emerald Woods - Sawmill Creek,Ward 10 - Gloucester-Southgate,Jessica Bradley,371903.121500003,5023641.85379946
126,2025,10/2/2025 5:00:00 AM,10/2/2025 5:00:00 AM,Friday,Murder 2nd Dgree,25,Central,Vanier North,Ward 12 - Rideau-Vanier,Stéphanie Plante,371333.019200003,5034330.97659946
127,2025,10/15/2025 5:00:00 AM,10/15/2025 5:00:00 AM,Thursday,Murder 1st Dgree,23,Central,Centretown,Ward 14 - Somerset,Ariel Troster,367248.638100001,5030647.19289946
128,2025,10/17/2025 5:00:00 AM,10/17/2025 5:00:00 AM,Saturday,Murder 2nd Dgree,24,Central,Lowertown,Ward 12 - Rideau-Vanier,Stéphanie Plante,368389.704900003,5032597.58709946
129,2025,10/18/2025 5:00:00 AM,10/18/2025 5:00:00 AM,Sunday,Murder 1st Dgree,33,East,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Marty Carr,373001.729000006,5029506.55289946
130,2025,10/22/2025 5:00:00 AM,10/22/2025 5:00:00 AM,Thursday,Murder 2nd Dgree,32,East,CFB Rockcliffe-NRC,Ward 13 - Rideau-Rockcliffe,Rawlson King,371403.710100004,5034736.60189946
131,2025,11/17/2025 5:00:00 AM,11/17/2025 5:00:00 AM,Tuesday,Murder 2nd Dgree,14,West,Whitehaven - Queensway Terrace North,Ward 7 - Bay,Theresa Kavanagh,359558.671000002,5024103.51209946
