OBJECTID,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Style,Vehicle Colour,Vehicle Value,Weekday,Recovered,Neighbourhood,Ward,Sector,Reported Date,Occurred Date,Year,Intersection,Division,Census Tract,Time of Day,Councillor,Reported Hour,Occurred Hour,x,y
28,2016,HYUNDAI,,,SIL,,Sunday,,,,,1/14/2018 5:00:00 AM,1/14/2018 5:00:00 AM,2018,,,,Evening,,2000,2000
29,2004,BUICK,RENDEZVOUS (SUV),,GRYWHI,,Sunday,,,,,1/14/2018 5:00:00 AM,1/14/2018 5:00:00 AM,2018,,,,Evening,,1800,1800
30,1997,"HONDA/AMERICAN HONDA MOTOR CO.,",ACCORD,Automobile,GRY,,Monday,Y,Orléans North West,Ward 2 - Orléans West-Innes,Sector 31,1/15/2018 5:00:00 AM,1/15/2018 5:00:00 AM,2018,"D'ORLEANS BLVD, TIMOTHY CRT",East,5050124.04,Evening,Laura Dudas,1800,1800,380134.9261,5037899.5899
31,2009,"HONDA/AMERICAN HONDA MOTOR CO.,",CIVIC (AND CRX),Automobile,WHI,,Sunday,Y,Hunt Club East - Western Community,Ward 16 - River,Sector 35,1/15/2018 5:00:00 AM,1/14/2018 5:00:00 AM,2018,"PAUL ANKA DR, UPLANDS DR",East,5050002.05,Evening,Riley Brockington,600,2200,369457.9136,5023574.5079
32,2016,FORD,,Automobile,WHI,,Friday,Y,Carson Grove - Carson Meadows,Ward 13 - Rideau-Rockcliffe,Sector 32,1/15/2018 5:00:00 AM,1/12/2018 5:00:00 AM,2018,"MONTREAL RD, BATHGATE DR, BURMA RD",East,5050062.01,Afternoon,Rawlson King,1100,1700,373224.2952,5034519.279
33,2014,FORD,ESCORT,,RED,,Tuesday,,,,,1/16/2018 5:00:00 AM,1/16/2018 5:00:00 AM,2018,,,,Afternoon,,1300,1300
34,2003,"HONDA/AMERICAN HONDA MOTOR CO.,",ACCORD,Automobile,BLU,,Wednesday,Y,Hintonburg - Mechanicsville,Ward 15 - Kitchissippi,Sector 21,1/18/2018 5:00:00 AM,1/17/2018 5:00:00 AM,2018,"BARNSLEY PRIV, FORWARD AVE",Central,5050046.00,Evening,Jeff Leiper,1300,1800,364909.3633,5030031.4129
35,2010,CHEVROLET,MALIBU,Automobile,SIL,,Friday,N,Hunt Club Upper -Blossom Park - Timbermill,Ward 10 - Gloucester-Southgate,Sector 35,1/19/2018 5:00:00 AM,1/19/2018 5:00:00 AM,2018,"HOGARTH AVE W, BANNON WAY W",East,5050123.04,Evening,Jessica Bradley,2300,1800,373044.6896,5023155.6607
36,2003,ACURA,MDX,Suv,BLK,,Wednesday,Y,East Industrial,Ward 18 - Alta Vista,Sector 33,1/19/2018 5:00:00 AM,1/17/2018 5:00:00 AM,2018,LAGAN WAY: SHORE ST,East,5050011.01,Afternoon,Marty Carr,1300,1300,372938.0514,5030711.3141
37,,"MASSEY-FERGUSON, INC./ SKI WHIZ/ MASSEY/SKI-WHIZ",,Other,REDGRY,,Friday,N,East Industrial,Ward 18 - Alta Vista,Sector 33,1/20/2018 5:00:00 AM,1/19/2018 5:00:00 AM,2018,"SANFORD FLEMING AVE, STEAMLINE ST",East,5050011.01,Afternoon,Marty Carr,1300,1400,370872.7603,5030708.7435
