OBJECTID,ID,Year,Reported Date,Occurred Date,Weekday,Hate Crime Type,Hate Crime Motivation,Offence Category,Neighbourhood,Sector,Division,Census Tract,Ward,Councillor,Offence Type
755,755,2023,8/30/2023 5:00:00 AM,8/29/2023 5:00:00 AM,Tuesday,Race/Ethnicity,Black,Mischief To Property,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.25,Ward 3 - Barrhaven West,David Hill,Criminal
756,756,2023,9/1/2023 5:00:00 AM,9/1/2023 5:00:00 AM,Friday,Sexual Orientation,LGBTQ2+,Mischief To Property,Hintonburg - Mechanicsville,Sector 21,Central,5050043.00,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
757,757,2023,9/5/2023 5:00:00 AM,8/28/2023 5:00:00 AM,Monday,Gender,LGBTQ2+,Theft <$5000,Vanier North,Sector 25,Central,5050104.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
758,758,2023,9/5/2023 5:00:00 AM,8/28/2023 5:00:00 AM,Monday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Harass Crim Stalking,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
759,759,2023,9/5/2023 5:00:00 AM,9/5/2023 5:00:00 AM,Tuesday,Religion,Jewish,Threats Utter To Person,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
760,760,2023,9/8/2023 5:00:00 AM,9/6/2023 5:00:00 AM,Wednesday,Immigrants/Newcomers to Canada,Immigrants/Newcomers to Canada,Mischief To Property,West Centertown,Sector 22,Central,5050041.00,Ward 14 - Somerset,Ariel Troster,Criminal
761,761,2023,9/8/2023 5:00:00 AM,9/8/2023 5:00:00 AM,Friday,Race/Ethnicity,Black,Weapon Possess Dangerous,Iris,Sector 15,West,5050026.00,Ward 8 - College,Laine Johnson,Criminal
762,762,2023,9/8/2023 5:00:00 AM,9/8/2023 5:00:00 AM,Friday,Race/Ethnicity,"India,Pakistan/South Asian",Threats Utter To Person,Katimavik - Hazeldean,Sector 13,West,5050160.04,Ward 23 - Kanata South,Allan Hubley,Criminal
763,763,2023,9/10/2023 5:00:00 AM,9/10/2023 5:00:00 AM,Sunday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Threats Utter To Person,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
764,764,2023,9/13/2023 5:00:00 AM,9/12/2023 5:00:00 AM,Tuesday,Gender,LGBTQ2+,Suspicious Circumstance(S),Carleton Heights - Rideauview,Sector 17,West,5050020.02,Ward 16 - River,Riley Brockington,Non-Criminal
765,765,2023,9/13/2023 5:00:00 AM,9/8/2023 5:00:00 AM,Friday,Race/Ethnicity,Black,Mischief To Property,Metcalfe,Sector 36,East,5050190.01,Ward 20 - Osgoode,Isabelle Skalski,Criminal
766,766,2023,9/16/2023 5:00:00 AM,9/15/2023 5:00:00 AM,Friday,Sexual Orientation,LGBTQ2+,Mischief To Property,Stittsville,Sector 13,West,5050151.06,Ward 6 - Stittsville,Glen Gower,Criminal
767,767,2023,9/17/2023 5:00:00 AM,9/17/2023 5:00:00 AM,Sunday,Religion,Jewish,Mischief To Property,Beaverbrook,Sector 13,West,5050160.02,Ward 4 - Kanata North,Cathy Curry,Criminal
768,768,2023,9/17/2023 5:00:00 AM,9/17/2023 5:00:00 AM,Sunday,Race/Ethnicity,Black,Mischief To Property,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
769,769,2023,9/18/2023 5:00:00 AM,9/18/2023 5:00:00 AM,Monday,Immigrants/Newcomers to Canada,Immigrants/Newcomers to Canada,Assault Level 1,CFB Rockcliffe-NRC,Sector 32,East,5050060.00,Ward 13 - Rideau-Rockcliffe,Rawlson King,Criminal
770,770,2023,9/20/2023 5:00:00 AM,9/20/2023 5:00:00 AM,Wednesday,Religion,Jewish,Public Incitement Of Hatred,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
771,771,2023,9/20/2023 5:00:00 AM,9/20/2023 5:00:00 AM,Wednesday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Public Incitement Of Hatred,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
772,772,2023,9/20/2023 5:00:00 AM,9/20/2023 5:00:00 AM,Wednesday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Mischief To Property,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
773,773,2023,9/20/2023 5:00:00 AM,9/20/2023 5:00:00 AM,Wednesday,Other Similar Factor,non,Public Incitement Of Hatred,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
774,774,2023,9/21/2023 5:00:00 AM,9/21/2023 5:00:00 AM,Thursday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Mischief To Property,Ottawa South,Sector 22,Central,5050016.00,Ward 17 - Capital,Shawn Menard,Criminal
775,775,2023,9/21/2023 5:00:00 AM,9/21/2023 5:00:00 AM,Thursday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Harass Harrassment,Hunt Club Upper -Blossom Park - Timbermill,Sector 35,East,5050123.04,Ward 10 - Gloucester-Southgate,Jessica Bradley,Non-Criminal
776,776,2023,9/22/2023 5:00:00 AM,9/22/2023 5:00:00 AM,Friday,Religion,Muslim (Islam),Public Incitement Of Hatred,Billings Bridge - Alta Vista,Sector 34,East,5050004.00,Ward 17 - Capital,Shawn Menard,Criminal
777,777,2023,9/22/2023 5:00:00 AM,9/13/2023 5:00:00 AM,Wednesday,Race/Ethnicity,Black,Assault Under 16,Carp,Sector 11,West,5050300.01,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
778,778,2023,9/25/2023 5:00:00 AM,9/25/2023 5:00:00 AM,Monday,Race/Ethnicity,"India,Pakistan/South Asian",B&E Residential Property,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.26,Ward 3 - Barrhaven West,David Hill,Criminal
779,779,2023,9/27/2023 5:00:00 AM,9/27/2023 5:00:00 AM,Wednesday,Race/Ethnicity,"India,Pakistan/South Asian",B&E Residential Property,Manotick West,Sector 12,West,5050201.00,Ward 21 - Rideau-Jock,David Brown,Criminal
780,780,2023,9/27/2023 5:00:00 AM,9/27/2023 5:00:00 AM,Wednesday,Race/Ethnicity,Chinese,B&E Residential Property,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.04,Ward 3 - Barrhaven West,David Hill,Criminal
781,781,2023,9/27/2023 5:00:00 AM,9/27/2023 5:00:00 AM,Wednesday,Sexual Orientation,LGBTQ2+,Harass Crim Stalking,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
782,782,2023,9/29/2023 5:00:00 AM,9/29/2023 5:00:00 AM,Friday,Sexual Orientation,LGBTQ2+,Mischief To Property,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
783,783,2023,10/1/2023 5:00:00 AM,10/1/2023 5:00:00 AM,Sunday,Race/Ethnicity,Indigenous/Aboriginal,Mischief To Property,Hunt Club South Industrial,Sector 17,West,5050130.01,Ward 9 - Knoxdale-Merivale,Sean Devine,Criminal
784,784,2023,10/3/2023 5:00:00 AM,10/3/2023 5:00:00 AM,Tuesday,Race/Ethnicity,"India,Pakistan/South Asian",B&E Residential Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.12,Ward 4 - Kanata North,Cathy Curry,Criminal
785,785,2023,10/3/2023 5:00:00 AM,10/3/2023 5:00:00 AM,Tuesday,Race/Ethnicity,"India,Pakistan/South Asian",B&E Residential Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.11,Ward 4 - Kanata North,Cathy Curry,Criminal
786,786,2023,10/4/2023 5:00:00 AM,10/4/2023 5:00:00 AM,Wednesday,Race/Ethnicity,"India,Pakistan/South Asian",Assault Level 1,Riverside South - Leitrim,Sector 35,East,5050126.04,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,Criminal
787,787,2023,10/4/2023 5:00:00 AM,10/4/2023 5:00:00 AM,Wednesday,Race/Ethnicity,"India,Pakistan/South Asian",B&E Residential Property,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.21,Ward 24 - Barrhaven East,Wilson Lo,Criminal
788,788,2023,10/4/2023 5:00:00 AM,10/4/2023 5:00:00 AM,Wednesday,Race/Ethnicity,Chinese,B&E Residential Property,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.21,Ward 24 - Barrhaven East,Wilson Lo,Criminal
789,789,2023,10/4/2023 5:00:00 AM,10/4/2023 5:00:00 AM,Wednesday,Religion,Jewish,Mischief To Property,Riverside South - Leitrim,Sector 35,East,5050126.04,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,Criminal
790,790,2023,10/5/2023 5:00:00 AM,10/1/2023 5:00:00 AM,Sunday,Sexual Orientation,LGBTQ2+,Mischief To Property,Tanglewood,Sector 17,West,5050130.02,Ward 9 - Knoxdale-Merivale,Sean Devine,Criminal
791,791,2023,10/5/2023 5:00:00 AM,10/5/2023 5:00:00 AM,Thursday,Race/Ethnicity,Black,Mischief Hate Cultrl/Rel Prop,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.07,Ward 4 - Kanata North,Cathy Curry,Criminal
792,792,2023,10/7/2023 5:00:00 AM,10/7/2023 5:00:00 AM,Saturday,Race/Ethnicity,Chinese,Assault Level 1,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.20,Ward 3 - Barrhaven West,David Hill,Criminal
793,793,2023,10/8/2023 5:00:00 AM,10/1/2023 5:00:00 AM,Sunday,Race/Ethnicity,"India,Pakistan/South Asian",B&E Residential Property,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.21,Ward 24 - Barrhaven East,Wilson Lo,Criminal
794,794,2023,10/9/2023 5:00:00 AM,10/9/2023 5:00:00 AM,Monday,Religion,Jewish,Threats To Property/Animal,Playfair Park - Lynda Park - Guildwood Estates,Sector 34,East,5050007.03,Ward 18 - Alta Vista,Marty Carr,Criminal
795,795,2023,10/9/2023 5:00:00 AM,10/9/2023 5:00:00 AM,Monday,Sexual Orientation,LGBTQ2+,Mischief To Property,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
796,796,2023,10/11/2023 5:00:00 AM,10/11/2023 5:00:00 AM,Wednesday,Religion,Jewish,Public Incitement Of Hatred,Richmond,Sector 12,West,5050151.03,Ward 21 - Rideau-Jock,David Brown,Criminal
797,797,2023,10/12/2023 5:00:00 AM,10/11/2023 5:00:00 AM,Wednesday,Religion,Jewish,Harass Crim Stalking,Richmond,Sector 12,West,5050151.03,Ward 21 - Rideau-Jock,David Brown,Criminal
798,798,2023,10/13/2023 5:00:00 AM,10/13/2023 5:00:00 AM,Friday,Race/Ethnicity,Black,Mischief To Property,Overbrook - McArthur,Sector 25,Central,5050101.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
799,799,2023,10/13/2023 5:00:00 AM,10/13/2023 5:00:00 AM,Friday,Religion,Jewish,Mischief To Property,Centretown,Sector 23,Central,5050041.00,Ward 14 - Somerset,Ariel Troster,Criminal
800,800,2023,10/13/2023 5:00:00 AM,10/11/2023 5:00:00 AM,Wednesday,Religion,Jewish,Suspicious Circumstance(S),Carleton University,Sector 22,Central,5050020.01,Ward 17 - Capital,Shawn Menard,Non-Criminal
801,801,2023,10/13/2023 5:00:00 AM,10/13/2023 5:00:00 AM,Friday,Religion,Muslim (Islam),Mischief To Property,Ledbury - Heron Gate - Ridgemont - Elmwood,Sector 34,East,5050001.09,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
802,802,2023,10/14/2023 5:00:00 AM,10/14/2023 5:00:00 AM,Saturday,Religion,Muslim (Islam),Mischief To Property,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
803,803,2023,10/15/2023 5:00:00 AM,10/15/2023 5:00:00 AM,Sunday,Race/Ethnicity,Black,Mischief To Property,Orléans Chapel Hill South,Sector 31,East,5050125.10,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
804,804,2023,10/15/2023 5:00:00 AM,10/15/2023 5:00:00 AM,Sunday,Race/Ethnicity,Black,Harass Communications,Sandy Hill - Ottawa East,Sector 24,Central,5050052.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Non-Criminal
805,805,2023,10/15/2023 5:00:00 AM,10/15/2023 5:00:00 AM,Sunday,Religion,Jewish,"Disturbance Causing,Loiter Etc",Carlingwood West - Glabar Park - McKellar Heights,Sector 14,West,5050025.00,Ward 7 - Bay,Theresa Kavanagh,Criminal
806,806,2023,10/16/2023 5:00:00 AM,10/16/2023 5:00:00 AM,Monday,Race/Ethnicity,Black,Mischief To Property,Orléans Chapel Hill South,Sector 31,East,5050125.10,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
807,807,2023,10/16/2023 5:00:00 AM,10/14/2023 5:00:00 AM,Saturday,Religion,Jewish,Mischief To Property,Carleton University,Sector 22,Central,5050020.01,Ward 17 - Capital,Shawn Menard,Criminal
808,808,2023,10/17/2023 5:00:00 AM,10/15/2023 5:00:00 AM,Sunday,Race/Ethnicity,Black,Mischief To Property,Briar Green - Leslie Park,Sector 15,West,5050137.02,Ward 8 - College,Laine Johnson,Criminal
809,809,2023,10/17/2023 5:00:00 AM,10/17/2023 5:00:00 AM,Tuesday,Religion,Muslim (Islam),Assault Level 1,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
810,810,2023,10/17/2023 5:00:00 AM,10/13/2023 5:00:00 AM,Friday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Mischief To Property,Stittsville,Sector 13,West,5050151.06,Ward 6 - Stittsville,Glen Gower,Criminal
811,811,2023,10/17/2023 5:00:00 AM,10/14/2023 5:00:00 AM,Saturday,Religion,Jewish,Mischief To Property,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Sector 15,West,5050135.01,Ward 9 - Knoxdale-Merivale,Sean Devine,Criminal
812,812,2023,10/18/2023 5:00:00 AM,10/17/2023 5:00:00 AM,Tuesday,Religion,Jewish,Demonstrations,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Non-Criminal
813,813,2023,10/18/2023 5:00:00 AM,10/18/2023 5:00:00 AM,Wednesday,Immigrants/Newcomers to Canada,Immigrants/Newcomers to Canada,Assault Level 1,Glebe - Dows Lake,Sector 22,Central,5050036.00,Ward 17 - Capital,Shawn Menard,Criminal
814,814,2023,10/19/2023 5:00:00 AM,10/16/2023 5:00:00 AM,Monday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Harass Crim Stalking,Centretown,Sector 23,Central,5050038.00,Ward 14 - Somerset,Ariel Troster,Criminal
815,815,2023,10/19/2023 5:00:00 AM,10/19/2023 5:00:00 AM,Thursday,Religion,Jewish,Mischief To Property,Ledbury - Heron Gate - Ridgemont - Elmwood,Sector 34,East,5050005.00,Ward 18 - Alta Vista,Marty Carr,Criminal
816,816,2023,10/20/2023 5:00:00 AM,10/20/2023 5:00:00 AM,Friday,Religion,Jewish,Assault Level 1,Ledbury - Heron Gate - Ridgemont - Elmwood,Sector 34,East,5050005.00,Ward 18 - Alta Vista,Marty Carr,Criminal
817,817,2023,10/20/2023 5:00:00 AM,10/20/2023 5:00:00 AM,Friday,Religion,Jewish,Mischief To Property,Briar Green - Leslie Park,Sector 15,West,5050137.02,Ward 8 - College,Laine Johnson,Criminal
818,818,2023,10/20/2023 5:00:00 AM,10/20/2023 5:00:00 AM,Friday,Religion,Jewish,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.15,Ward 4 - Kanata North,Cathy Curry,Criminal
819,819,2023,10/20/2023 5:00:00 AM,10/20/2023 5:00:00 AM,Friday,Religion,Jewish,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.15,Ward 4 - Kanata North,Cathy Curry,Criminal
820,820,2023,10/20/2023 5:00:00 AM,10/19/2023 5:00:00 AM,Thursday,Religion,Jewish,Mischief To Property,Crestview - Meadowlands,Sector 17,West,5050133.00,Ward 8 - College,Laine Johnson,Criminal
821,821,2023,10/22/2023 5:00:00 AM,10/22/2023 5:00:00 AM,Sunday,Religion,Muslim (Islam),Mischief Hate Cultrl/Rel Prop,Centretown,Sector 23,Central,5050038.00,Ward 14 - Somerset,Ariel Troster,Criminal
822,822,2023,10/23/2023 5:00:00 AM,10/17/2023 5:00:00 AM,Tuesday,Race/Ethnicity,Black,Mischief To Property,Stittsville,Sector 13,West,5050151.06,Ward 6 - Stittsville,Glen Gower,Criminal
823,823,2023,10/23/2023 5:00:00 AM,10/23/2023 5:00:00 AM,Monday,Religion,Muslim (Islam),"Threats Harass,Intim,Violent",Orléans Chapel Hill,Sector 31,East,5050125.04,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
824,824,2023,10/23/2023 5:00:00 AM,10/19/2023 5:00:00 AM,Thursday,Religion,Jewish,Threatening Communications,Sandy Hill - Ottawa East,Sector 24,Central,5050051.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Non-Criminal
825,825,2023,10/24/2023 5:00:00 AM,10/24/2023 5:00:00 AM,Tuesday,Religion,Muslim (Islam),Harass Crim Stalking,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
826,826,2023,10/24/2023 5:00:00 AM,10/24/2023 5:00:00 AM,Tuesday,Religion,Jewish,Mischief To Property,Elmvale - Eastway - Riverview - Riverview Park West,Sector 33,East,5050009.00,Ward 18 - Alta Vista,Marty Carr,Criminal
827,827,2023,10/25/2023 5:00:00 AM,10/25/2023 5:00:00 AM,Wednesday,Race/Ethnicity,Black,Threats Utter To Person,Vanier North,Sector 25,Central,5050101.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
828,828,2023,10/27/2023 5:00:00 AM,10/25/2023 5:00:00 AM,Wednesday,Race/Ethnicity,Chinese,Mischief Cultural Property,Centretown,Sector 23,Central,5050040.00,Ward 14 - Somerset,Ariel Troster,Criminal
829,829,2023,10/28/2023 5:00:00 AM,10/27/2023 5:00:00 AM,Friday,Gender,LGBTQ2+,"Threats Harass,Intim,Violent",Centretown,Sector 23,Central,5050038.00,Ward 14 - Somerset,Ariel Troster,Criminal
830,830,2023,10/29/2023 5:00:00 AM,10/29/2023 5:00:00 AM,Sunday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Breach Probation,Centretown,Sector 23,Central,5050037.01,Ward 14 - Somerset,Ariel Troster,Criminal
831,831,2023,10/29/2023 5:00:00 AM,10/28/2023 5:00:00 AM,Saturday,Religion,Jewish,Mischief To Property,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Sector 15,West,5050135.01,Ward 9 - Knoxdale-Merivale,Sean Devine,Criminal
832,832,2023,10/29/2023 5:00:00 AM,10/29/2023 5:00:00 AM,Sunday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Threats Utter To Person,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.20,Ward 3 - Barrhaven West,David Hill,Criminal
833,833,2023,11/1/2023 5:00:00 AM,10/31/2023 5:00:00 AM,Tuesday,Sexual Orientation,LGBTQ2+,Mischief To Property,Barrhaven,Sector 16,West,5050140.04,Ward 3 - Barrhaven West,David Hill,Criminal
834,834,2023,11/1/2023 5:00:00 AM,11/1/2023 5:00:00 AM,Wednesday,Religion,Jewish,Mischief To Property,Hintonburg - Mechanicsville,Sector 21,Central,5050045.01,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
835,835,2023,11/1/2023 5:00:00 AM,10/27/2023 5:00:00 AM,Friday,Race/Ethnicity,Black,Mischief To Property,Carleton Heights - Rideauview,Sector 17,West,5050020.01,Ward 16 - River,Riley Brockington,Criminal
836,836,2023,11/3/2023 5:00:00 AM,11/3/2023 5:00:00 AM,Friday,Religion,Jewish,Harass Crim Stalking,Playfair Park - Lynda Park - Guildwood Estates,Sector 34,East,5050007.03,Ward 18 - Alta Vista,Marty Carr,Criminal
837,837,2023,11/5/2023 5:00:00 AM,11/4/2023 5:00:00 AM,Saturday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Public Incitement Of Hatred,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Criminal
838,838,2023,11/5/2023 5:00:00 AM,11/5/2023 5:00:00 AM,Sunday,Religion,Muslim (Islam),Threats Utter To Person,South Keys - Heron Gate - Greenboro West,Sector 35,East,5050001.04,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
839,839,2023,11/6/2023 5:00:00 AM,11/6/2023 5:00:00 AM,Monday,Religion,Jewish,Mischief To Property,Carleton University,Sector 22,Central,5050020.01,Ward 17 - Capital,Shawn Menard,Criminal
840,840,2023,11/6/2023 5:00:00 AM,11/5/2023 5:00:00 AM,Sunday,Race/Ethnicity,"India,Pakistan/South Asian",Assault Level 1,Glebe - Dows Lake,Sector 22,Central,5050036.00,Ward 17 - Capital,Shawn Menard,Criminal
841,841,2023,11/6/2023 5:00:00 AM,10/27/2023 5:00:00 AM,Friday,Religion,Jewish,Theft <$5000,Playfair Park - Lynda Park - Guildwood Estates,Sector 34,East,5050007.01,Ward 18 - Alta Vista,Marty Carr,Criminal
842,842,2023,11/8/2023 5:00:00 AM,11/8/2023 5:00:00 AM,Wednesday,Religion,Jewish,Mischief To Property,Ledbury - Heron Gate - Ridgemont - Elmwood,Sector 34,East,5050001.09,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
843,843,2023,11/8/2023 5:00:00 AM,11/8/2023 5:00:00 AM,Wednesday,Sexual Orientation,LGBTQ2+,Mischief To Property,Elmvale - Eastway - Riverview - Riverview Park West,Sector 33,East,5050009.00,Ward 18 - Alta Vista,Marty Carr,Criminal
844,844,2023,11/8/2023 5:00:00 AM,9/13/2023 5:00:00 AM,Wednesday,Race/Ethnicity,Black,Harass Crim Stalking,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.15,Ward 23 - Kanata South,Allan Hubley,Criminal
845,845,2023,11/8/2023 5:00:00 AM,10/30/2023 5:00:00 AM,Monday,Religion,Muslim (Islam),Assault Level 1,Hintonburg - Mechanicsville,Sector 21,Central,5050045.01,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
846,846,2023,11/9/2023 5:00:00 AM,10/31/2023 5:00:00 AM,Tuesday,Race/Ethnicity,Other race/ethnicity,Mischief To Property,Stittsville,Sector 13,West,5050151.11,Ward 6 - Stittsville,Glen Gower,Criminal
847,847,2023,11/9/2023 5:00:00 AM,9/1/2020 5:00:00 AM,Tuesday,Sexual Orientation,LGBTQ2+,Mischief To Property,Beacon Hill South - Cardinal Heights,Sector 32,East,5050121.02,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Criminal
848,848,2023,11/9/2023 5:00:00 AM,11/9/2023 5:00:00 AM,Thursday,Religion,Jewish,Mischief To Property,Hintonburg - Mechanicsville,Sector 21,Central,5050046.00,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
849,849,2023,11/11/2023 5:00:00 AM,11/11/2023 5:00:00 AM,Saturday,Religion,Muslim (Islam),Threats Utter To Person,Ledbury - Heron Gate - Ridgemont - Elmwood,Sector 34,East,5050005.00,Ward 18 - Alta Vista,Marty Carr,Criminal
850,850,2023,11/12/2023 5:00:00 AM,11/12/2023 5:00:00 AM,Sunday,Other Similar Factor,non,Mischief To Property,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
851,851,2023,11/12/2023 5:00:00 AM,11/12/2023 5:00:00 AM,Sunday,Religion,Jewish,Mischief Hate Cultrl/Rel Prop,Glebe - Dows Lake,Sector 22,Central,5050036.00,Ward 17 - Capital,Shawn Menard,Criminal
852,852,2023,11/12/2023 5:00:00 AM,11/12/2023 5:00:00 AM,Sunday,Religion,Jewish,Mischief To Property,Lowertown,Sector 24,Central,5050053.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
853,853,2023,11/13/2023 5:00:00 AM,11/12/2023 5:00:00 AM,Sunday,Religion,Jewish,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.12,Ward 4 - Kanata North,Cathy Curry,Criminal
854,854,2023,11/13/2023 5:00:00 AM,11/13/2023 5:00:00 AM,Monday,Religion,Muslim (Islam),Threats Utter To Person,Glen Cairn - Kanata South Business Park,Sector 13,West,5050162.04,Ward 23 - Kanata South,Allan Hubley,Criminal
855,855,2023,11/13/2023 5:00:00 AM,11/13/2023 5:00:00 AM,Monday,Religion,Jewish,Information (General),Rothwell Heights - Beacon Hill North,Sector 32,East,5050120.03,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Non-Criminal
856,856,2023,11/16/2023 5:00:00 AM,11/16/2023 5:00:00 AM,Thursday,Religion,Jewish,Mischief To Property,Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,Sector 17,West,5050131.01,Ward 9 - Knoxdale-Merivale,Sean Devine,Criminal
857,857,2023,11/16/2023 5:00:00 AM,11/3/2023 5:00:00 AM,Friday,Sexual Orientation,LGBTQ2+,Mischief To Property,Beacon Hill South - Cardinal Heights,Sector 32,East,5050121.02,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,Criminal
858,858,2023,11/17/2023 5:00:00 AM,11/17/2023 5:00:00 AM,Friday,Religion,Jewish,Mischief Hate Cultrl/Rel Prop,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050171.15,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
859,859,2023,11/17/2023 5:00:00 AM,11/17/2023 5:00:00 AM,Friday,Religion,Jewish,Mischief To Property,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050171.15,Ward 19 - Orléans South-Navan,Catherine Kitts,Criminal
860,860,2023,11/18/2023 5:00:00 AM,11/18/2023 5:00:00 AM,Saturday,Religion,Jewish,Mischief To Property,Whitehaven - Queensway Terrace North,Sector 14,West,5050028.00,Ward 7 - Bay,Theresa Kavanagh,Criminal
861,861,2023,11/18/2023 5:00:00 AM,11/10/2023 5:00:00 AM,Friday,Sexual Orientation,LGBTQ2+,Theft <$5000,Carleton University,Sector 22,Central,5050020.01,Ward 17 - Capital,Shawn Menard,Criminal
862,862,2023,11/21/2023 5:00:00 AM,11/19/2023 5:00:00 AM,Sunday,Religion,Jewish,Mischief To Property,Woodvale - Craig Henry - Manordale - Estates of Arlington Woods,Sector 15,West,5050135.01,Ward 9 - Knoxdale-Merivale,Sean Devine,Criminal
863,863,2023,11/22/2023 5:00:00 AM,11/22/2023 5:00:00 AM,Wednesday,Race/Ethnicity,Black,Mischief To Property,Orléans Avalon - Notting Gate - Fallingbrook - Gardenway South,Sector 31,East,5050171.05,Ward 1 - Orléans East-Cumberland,Matthew Luloff,Criminal
864,864,2023,11/25/2023 5:00:00 AM,11/25/2023 5:00:00 AM,Saturday,Race/Ethnicity,"India,Pakistan/South Asian",Threats Utter To Person,Crestview - Meadowlands,Sector 17,West,5050133.00,Ward 8 - College,Laine Johnson,Criminal
