OBJECTID,ID,Year,Reported Date,Occurred Date,Weekday,Hate Crime Type,Hate Crime Motivation,Offence Category,Neighbourhood,Sector,Division,Census Tract,Ward,Councillor,Offence Type
548,548,2023,1/17/2023 5:00:00 AM,1/17/2023 5:00:00 AM,Tuesday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Mischief To Property,Civic Hospital-Central Park,Sector 21,Central,5050020.01,Ward 9 - Knoxdale-Merivale,Sean Devine,Criminal
549,549,2023,1/17/2023 5:00:00 AM,1/17/2023 5:00:00 AM,Tuesday,Religion,Jewish,Harass Communications,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
550,550,2023,1/18/2023 5:00:00 AM,1/17/2023 5:00:00 AM,Tuesday,Race/Ethnicity,"India,Pakistan/South Asian",Assault With Weapon Or Cbh Lv2,Stittsville,Sector 13,West,5050300.01,Ward 6 - Stittsville,Glen Gower,Criminal
551,551,2023,1/19/2023 5:00:00 AM,1/19/2023 5:00:00 AM,Thursday,Religion,Jewish,Harass Communications,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
552,552,2023,1/20/2023 5:00:00 AM,1/19/2023 5:00:00 AM,Thursday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Harass Communications,Whitehaven - Queensway Terrace North,Sector 14,West,5050028.00,Ward 7 - Bay,Theresa Kavanagh,Criminal
553,553,2023,1/20/2023 5:00:00 AM,1/20/2023 5:00:00 AM,Friday,Religion,Jewish,Harass Communications,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
554,554,2023,1/21/2023 5:00:00 AM,1/21/2023 5:00:00 AM,Saturday,Sexual Orientation,LGBTQ2+,Assault Level 1,Centretown,Sector 23,Central,5050038.00,Ward 14 - Somerset,Ariel Troster,Criminal
555,555,2023,1/21/2023 5:00:00 AM,1/20/2023 5:00:00 AM,Friday,Race/Ethnicity,Black,"Disturbance Causing,Loiter Etc",Greenboro East,Sector 35,East,5050001.06,Ward 10 - Gloucester-Southgate,Jessica Bradley,Criminal
556,556,2023,1/22/2023 5:00:00 AM,1/22/2023 5:00:00 AM,Sunday,Religion,Jewish,Harass Communications,Glebe - Dows Lake,Sector 22,Central,5050018.00,Ward 17 - Capital,Shawn Menard,Criminal
557,557,2023,1/24/2023 5:00:00 AM,1/24/2023 5:00:00 AM,Tuesday,Race/Ethnicity,White,Mischief Hate Cultrl/Rel Prop,Civic Hospital-Central Park,Sector 21,Central,5050034.00,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
